Date,Open,High,Low,Close,Volume,Adj Close,20 Day SMA,50 Day SMA,Trade,
2005-09-01,47.50,47.66,45.76,46.98,4911200,38.79294,,,,
2005-09-02,47.01,47.26,46.02,46.12,2505000,38.08281,,,,
2005-09-06,46.36,47.42,46.34,47.21,3486700,38.98286,,,,
2005-09-07,47.29,48.43,47.22,47.76,4135000,39.43701,,,,
2005-09-08,47.64,48.66,47.45,47.82,4387000,39.48656,,,,
2005-09-09,48.50,48.88,48.03,48.79,4355000,40.28752,,,,
2005-09-12,48.72,50.66,48.01,50.36,8158800,41.58392,,,,
2005-09-13,46.41,46.93,44.67,44.79,29178700,36.98459,,,,
2005-09-14,45.31,45.56,44.75,44.86,11919600,37.04239,,,,
2005-09-15,44.98,45.25,44.09,44.30,7342600,36.57998,,,,
2005-09-16,44.31,44.70,44.15,44.17,7573400,36.47263,,,,
2005-09-19,44.18,44.36,41.93,42.24,8614800,34.87897,,,,
2005-09-20,43.08,43.20,41.33,41.51,8624100,34.27618,,,,
2005-09-21,41.51,41.59,40.40,41.00,7752000,33.85506,,,,
2005-09-22,41.15,42.49,40.68,42.20,6092300,34.84594,,,,
2005-09-23,42.55,43.95,42.20,42.92,6714100,35.44046,,,,
2005-09-26,43.50,44.00,43.00,43.66,6984600,36.05151,,,,
2005-09-27,43.95,44.06,43.18,43.77,4194900,36.14234,,,,
2005-09-28,44.02,44.06,42.84,43.13,4638000,35.61387,,,,
2005-09-29,43.00,43.19,42.00,43.12,3663300,35.60561,37.0222,,,
2005-09-30,43.40,44.05,43.24,43.53,3075600,36.01097,36.8831,,TRADE,
2005-10-03,43.20,43.28,42.35,42.65,3845200,35.28298,36.7431,,,
2005-10-04,42.66,43.10,41.84,41.84,3508500,34.61289,36.5246,,,
2005-10-05,41.71,41.85,40.81,40.93,4366000,33.86008,36.2457,,,
2005-10-06,42.07,42.55,41.26,42.38,7459400,35.05962,36.0244,,,
2005-10-07,42.40,43.00,42.13,42.59,3666200,35.23334,35.7717,,,
2005-10-10,42.44,42.68,41.83,41.86,3026900,34.62944,35.4239,,,
2005-10-11,41.68,42.61,41.67,42.25,2759100,34.95207,35.3223,,,
2005-10-12,42.25,42.50,40.66,41.00,7082500,33.91798,35.1661,,,
2005-10-13,40.85,41.81,40.79,41.76,4041800,34.54671,35.0644,,,
2005-10-14,42.17,43.43,42.17,43.29,4809500,35.81243,35.0314,,,
2005-10-17,43.20,43.48,42.65,43.08,4194400,35.63871,35.0694,,,
2005-10-18,43.08,43.35,42.12,42.16,3736500,34.87762,35.0995,,,
2005-10-19,42.05,42.91,41.60,42.90,4538400,35.4898,35.1812,,,
2005-10-20,42.92,44.60,42.89,43.88,7140800,36.30052,35.2539,,,
2005-10-21,44.80,44.84,43.57,44.00,4586200,36.39979,35.3019,,,
2005-10-24,44.01,45.44,44.01,45.35,4159000,37.5166,35.3752,,,
2005-10-25,45.35,45.39,44.08,44.54,3362800,36.84652,35.4104,,,
2005-10-26,44.27,44.64,43.50,43.70,3253500,36.15161,35.4373,,,
2005-10-27,43.50,43.50,42.30,42.41,3739200,35.08443,35.4112,,,
2005-10-28,42.65,43.24,42.05,42.64,4833200,35.2747,35.3744,,,
2005-10-31,42.89,44.81,42.89,44.26,5619200,36.61488,35.441,,,
2005-11-01,44.26,44.50,43.65,44.45,4488100,36.77206,35.5489,,,
2005-11-02,44.70,46.14,44.45,46.09,4947000,38.12878,35.7624,,,
2005-11-03,46.35,47.88,46.35,47.70,7907900,39.46068,35.9824,,,
2005-11-04,47.98,48.75,47.92,48.58,5554800,40.18868,36.2302,,,
2005-11-07,48.83,48.95,48.30,48.41,3615100,40.04804,36.5011,,,
2005-11-08,48.05,48.05,46.54,46.80,5086000,38.71614,36.6893,,,
2005-11-09,47.01,47.25,46.37,46.53,2518800,38.49277,36.9181,,,
2005-11-10,46.80,47.63,45.93,47.48,3152000,39.27868,37.1547,36.6329,,
2005-11-11,47.77,47.83,46.58,47.04,2370000,38.91468,37.3098,36.6353,,
2005-11-14,46.93,47.58,46.25,46.50,3189700,38.46796,37.4512,36.643,,
2005-11-15,45.75,45.75,43.67,43.89,10375700,36.30879,37.5228,36.5895,,
2005-11-16,44.65,44.92,44.00,44.89,4723700,37.13606,37.6051,36.5435,,
2005-11-17,45.55,45.80,44.91,45.27,3973200,37.45042,37.6626,36.5028,,
2005-11-18,45.30,46.14,45.23,45.91,4123600,37.97987,37.7416,36.4566,,
2005-11-21,45.92,47.07,45.92,47.05,3587700,38.92295,37.8119,36.4034,,
2005-11-22,47.15,48.31,46.60,48.16,5068300,39.84122,37.9617,36.4605,,
2005-11-23,48.16,49.88,48.16,49.00,7537500,40.53613,38.1809,36.5304,,
