Date,Open,High,Low,Close,Volume,Adj Close,20 Day SMA,50 Day SMA,Trade,
2005-01-03,19.42,19.61,19.27,19.32,56725600,17.37847,,,,
2005-01-04,19.38,19.39,18.54,18.56,106241900,16.69485,,,,
2005-01-05,18.47,18.88,18.45,18.57,66100500,16.70384,,,,
2005-01-06,18.67,18.86,18.56,18.85,63790900,16.9557,,,,
2005-01-07,18.92,18.98,18.62,18.72,54415000,16.83877,,,,
2005-01-10,18.66,18.84,18.60,18.72,47183300,16.83877,,,,
2005-01-11,18.56,18.72,18.46,18.64,53236100,16.76681,,,,
2005-01-12,18.76,18.97,18.71,18.93,65081900,17.02766,,,,
2005-01-13,18.92,18.99,18.63,18.78,56893000,16.89274,,,,
2005-01-14,18.87,18.97,18.78,18.88,51197100,16.98269,,,,
2005-01-18,18.75,18.80,18.63,18.74,51416900,16.85676,,,,
2005-01-19,18.66,18.68,18.11,18.15,72873000,16.32605,,,,
2005-01-20,18.08,18.43,17.91,18.32,83539400,16.47896,,,,
2005-01-21,18.31,18.49,18.00,18.01,56209900,16.20012,,,,
2005-01-24,18.15,18.20,17.70,17.75,80477000,15.96624,,,,
2005-01-25,17.90,17.98,17.41,17.51,76495900,15.75036,,,,
2005-01-26,17.80,17.86,17.55,17.69,73530300,15.91228,,,,
2005-01-27,17.77,18.22,17.73,18.18,76947600,16.35303,,,,
2005-01-28,18.27,18.39,17.85,17.90,77990000,16.10117,,,,
2005-01-31,18.15,18.30,17.98,18.04,51573700,16.2271,16.5626,,,
2005-02-01,18.09,18.25,18.00,18.13,55135300,16.30806,16.5091,,,
2005-02-02,18.22,18.30,18.05,18.15,57884400,16.32605,16.4907,,,
2005-02-03,18.04,18.09,17.50,17.52,86470500,15.75936,16.4434,,,
2005-02-04,17.58,17.92,17.58,17.90,75320600,16.10117,16.4007,,,
2005-02-07,18.00,18.20,17.90,18.16,62682700,16.33504,16.3755,,,
2005-02-08,18.23,18.43,18.16,18.24,112368000,16.407,16.3539,,,
2005-02-09,18.31,18.32,17.50,17.63,116920500,15.8583,16.3085,,,
2005-02-10,17.73,17.76,17.51,17.58,81179800,15.81333,16.2478,,,
2005-02-11,17.57,17.87,17.37,17.70,99165600,15.92127,16.1992,,,
2005-02-14,17.71,18.05,17.64,17.97,59189600,16.16413,16.1583,,,
2005-02-15,18.06,18.18,17.81,17.92,65160200,16.11916,16.1214,,,
2005-02-16,17.86,17.95,17.68,17.71,56805900,15.93026,16.1016,,,
2005-02-17,17.73,17.74,17.39,17.45,46135700,15.69639,16.0625,,,
2005-02-18,17.54,17.58,17.28,17.30,60417100,15.56147,16.0306,,,
2005-02-22,17.16,17.55,17.15,17.31,65804900,15.57046,16.0108,,,
2005-02-23,17.38,17.41,17.13,17.28,58968400,15.54348,16.0004,,,
2005-02-24,17.22,17.29,17.13,17.18,53681900,15.45353,15.9775,,,
2005-02-25,17.20,17.33,17.14,17.20,38126100,15.47152,15.9334,,,
2005-02-28,17.20,17.56,17.17,17.42,62138100,15.66941,15.9118,,,
2005-03-01,17.44,17.68,17.41,17.50,50503000,15.74137,15.8875,,,
2005-03-02,17.49,17.84,17.46,17.74,57781500,15.95725,15.87,,,
2005-03-03,17.72,17.90,17.71,17.80,48778400,16.01122,15.8543,,,
2005-03-04,17.90,18.08,17.76,18.04,55641700,16.2271,15.8776,,,
2005-03-07,18.28,18.52,18.15,18.24,97495200,16.407,15.8929,,,
2005-03-08,18.24,18.49,18.11,18.12,54072000,16.29906,15.8911,,,
2005-03-09,18.27,18.74,18.26,18.53,80748600,16.66786,15.9042,,,
2005-03-10,18.64,18.79,18.46,18.71,81350200,16.82977,15.9528,,,
2005-03-11,18.67,18.80,18.21,18.45,55821100,16.5959,15.9919,,,
2005-03-14,18.48,18.63,18.45,18.54,41102900,16.67686,16.0297,,,
2005-03-15,18.58,18.65,18.20,18.25,43168700,16.416,16.0423,16.2618,,
2005-03-16,18.15,18.26,18.00,18.07,47912700,16.25409,16.049,16.2393,,
2005-03-17,18.02,18.30,18.01,18.03,48988500,16.21811,16.0634,16.2298,,
2005-03-18,18.07,18.15,17.80,17.80,52249300,16.01122,16.0791,16.2159,,
2005-03-21,17.77,18.03,17.75,17.94,38427200,16.13715,16.1079,16.1996,,
2005-03-22,17.96,18.16,17.82,17.92,55769100,16.11916,16.1354,16.1852,,
2005-03-23,17.80,18.02,17.73,17.75,42848200,15.96624,16.1565,16.1677,,
2005-03-24,17.81,18.15,17.70,17.88,51460900,16.08318,16.188,16.1541,,
2005-03-28,18.02,18.14,17.89,17.89,40633700,16.09217,16.219,16.1354,,
2005-03-29,17.85,17.98,17.66,17.75,49790300,15.96624,16.2338,16.1168,,
2005-03-30,17.81,18.10,17.80,18.03,53086500,16.21811,16.2577,16.1015,,
2005-03-31,18.02,18.14,17.86,17.89,46338200,16.09217,16.2644,16.0862,,
2005-04-01,18.01,18.07,17.69,17.70,56370800,15.92127,16.2599,16.0781,,
2005-04-04,17.66,17.75,17.50,17.67,51926100,15.89428,16.2433,16.0664,,
2005-04-05,17.74,17.91,17.52,17.82,50130200,16.02921,16.2244,16.063,,
2005-04-06,17.82,18.00,17.74,17.77,40116400,15.98424,16.2087,16.0634,,
2005-04-07,17.80,18.17,17.78,18.15,50647300,16.32605,16.1916,16.0749,,
2005-04-08,18.08,18.15,17.90,17.90,45389700,16.10117,16.1551,16.0787,,
2005-04-11,18.00,18.10,17.93,17.99,42853400,16.18213,16.1345,16.0753,,
2005-04-12,17.92,18.30,17.85,18.24,86773400,16.407,16.121,16.0814,,
2005-04-13,18.21,18.29,17.97,18.00,44917500,16.19112,16.1097,16.0807,,
2005-04-14,18.00,18.01,17.75,17.81,52373700,16.02021,16.098,16.0749,,
2005-04-15,17.49,17.62,17.18,17.20,86961300,15.47152,16.0607,16.0578,,
2005-04-18,17.17,17.39,17.01,17.02,63901600,15.30961,16.0256,16.0488,,
2005-04-19,17.20,17.31,17.15,17.18,44281100,15.45353,15.9914,16.0359,,
2005-04-20,17.43,17.54,17.15,17.19,58411500,15.46252,15.9586,16.0184,,
2005-04-21,17.39,17.71,17.35,17.68,52371700,15.90328,15.9555,16.0083,,
2005-04-22,17.50,17.61,17.22,17.43,41057800,15.6784,15.9352,16.0047,,
2005-04-25,17.46,17.60,17.39,17.48,39358000,15.72338,15.9168,16.0029,,
2005-04-26,17.35,17.64,17.25,17.28,56444600,15.54348,15.8956,15.9954,,
2005-04-27,17.19,17.46,17.08,17.25,62447400,15.51649,15.8606,15.9824,,
2005-04-28,17.14,17.33,17.10,17.14,48957400,15.41755,15.8268,15.9684,,
2005-04-29,17.19,17.30,17.04,17.27,49386700,15.53448,15.8075,15.9605,,
2005-05-02,17.24,17.32,17.16,17.26,43564300,15.52549,15.789,15.9571,,
2005-05-03,17.18,17.39,17.18,17.31,43707300,15.57046,15.7661,15.9573,,
2005-05-04,17.33,17.71,17.31,17.65,75896500,15.87629,15.7607,15.9634,,
