Date of Trade,Entry Point,Take Profit,Stop Loss,Date Closed,Trade Close,Win/Loss,Percent Win/Loss,
2005-12-08,17.81,18.8786,16.9195,2006-01-06,18.88,1.07,6.0079 %,
2006-11-07,24.82,26.3092,23.579,2006-11-09,27.44,2.62,10.556 %,
2007-06-29,27.98,29.6588,26.581,2007-07-12,29.97,1.99,7.1122 %,
2007-07-20,29.94,31.7364,28.443,2007-08-08,32.25,2.31,7.7154 %,
2009-04-27,18.10,19.186,17.195,2009-04-29,19.53,1.43,7.9006 %,
2009-10-15,24.25,25.705,23.0375,2009-10-28,22.97,-1.28,-5.2784 %,
2009-11-24,23.83,25.2598,22.6385,2010-01-28,22.35,-1.48,-6.2107 %,
2009-12-22,23.63,25.0478,22.4485,2010-01-14,25.08,1.45,-6.1363 %,
2010-04-15,27.00,28.62,25.65,2010-05-06,23.23,-3.77,-13.963 %,
2010-08-10,24.46,25.9276,23.237,2010-08-12,21.42,-3.04,-12.4285 %,
2010-09-14,21.36,22.6416,20.292,2010-10-11,22.65,1.29,-6.0393 %,
2010-12-07,19.70,20.882,18.715,2011-01-06,20.91,1.21,-6.1421 %,
2011-01-04,20.51,21.7406,19.4845,2011-02-03,21.97,1.46,-7.1185 %,
2011-02-02,21.52,22.8112,20.444,2011-02-10,19.65,-1.87,-8.6896 %,
2011-04-21,16.94,17.9564,16.093,2011-05-11,17.99,1.05,-6.1983 %,
2011-09-08,15.85,16.801,15.0575,2011-09-16,16.84,0.99,-6.2461 %,
2011-11-11,18.79,19.9174,17.8505,2011-11-21,17.78,-1.01,-5.3752 %,
2012-03-14,20.16,21.3696,19.152,2012-05-04,19.03,-1.13,-5.6052 %,
2012-07-02,17.11,18.1366,16.2545,2012-07-12,16.16,-0.95,5.5523 %,
2012-11-15,17.75,18.815,16.8625,2012-11-23,18.89,1.14,-6.4225 %,
2013-05-17,23.85,25.281,22.6575,2013-07-10,25.56,1.71,-7.1698 %,
2013-10-30,22.87,24.2422,21.7265,2013-11-14,20.94,-1.93,8.439 %,
2014-05-16,24.14,25.5884,22.933,2014-07-11,25.65,1.51,6.2552 %,
2014-11-03,24.45,25.917,23.2275,2014-11-14,26.34,1.89,-7.7301 %,
,,,,,,,
Number of Winners:,8,
Number of Losers:,16,
Average Percent Change:,-2.384 %,
