Date of Trade,Entry Point,Take Profit,Stop Loss,Date Closed,Trade Close,Win/Loss,Percent Win/Loss,
2005-03-07,56.42,59.8052,53.599,2005-03-14,53.01,-3.41,-6.044 %,
2005-07-11,46.10,48.866,43.795,2005-07-20,48.92,2.82,-6.1171 %,
2005-10-10,42.11,44.6366,40.0045,2005-10-25,44.64,2.53,-6.0081 %,
2005-12-07,44.87,47.5622,42.6265,2006-01-17,42.42,-2.45,-5.4602 %,
2007-01-12,40.03,42.4318,38.0285,2007-01-19,42.60,2.57,-6.4202 %,
2007-04-10,46.24,49.0144,43.928,2007-05-01,43.71,-2.53,-5.4715 %,
2007-12-14,43.99,46.6294,41.7905,2007-12-17,41.16,-2.83,6.4333 %,
2008-02-20,38.16,40.4496,36.252,2008-03-07,36.02,-2.14,5.608 %,
2008-09-09,35.14,37.2484,33.383,2008-09-19,39.99,4.85,13.8019 %,
2009-05-11,17.12,18.1472,16.264,2009-05-08,16.00,-1.12,-6.5421 %,
2009-10-15,26.73,28.3338,25.3935,2009-10-21,25.08,-1.65,-6.1728 %,
2010-03-15,29.74,31.5244,28.253,2010-04-15,31.53,1.79,6.0188 %,
2010-06-10,26.00,27.56,24.7,2010-06-21,27.78,1.78,-6.8462 %,
2010-08-27,23.80,25.228,22.61,2010-09-01,25.77,1.97,-8.2773 %,
2010-09-02,25.54,27.0724,24.263,2010-09-20,27.30,1.76,-6.8912 %,
2011-01-04,35.00,37.1,33.25,2011-02-03,37.50,2.5,7.1429 %,
2011-03-04,37.89,40.1634,35.9955,2011-03-15,35.12,-2.77,-7.3106 %,
2011-08-30,28.12,29.8072,26.714,2011-09-02,26.46,-1.66,5.9033 %,
2011-09-08,26.94,28.5564,25.593,2011-09-12,25.30,-1.64,6.0876 %,
2011-10-17,27.68,29.3408,26.296,2011-10-18,26.12,-1.56,5.6358 %,
2011-10-28,28.82,30.5492,27.379,2011-11-01,26.38,-2.44,8.4663 %,
2012-04-02,34.56,36.6336,32.832,2012-04-09,32.82,-1.74,-5.0347 %,
2012-05-25,31.51,33.4006,29.9345,2012-06-19,33.99,2.48,-7.8705 %,
2012-07-02,31.56,33.4536,29.982,2012-07-12,29.35,-2.21,7.0025 %,
2012-08-06,29.97,31.7682,28.4715,2012-09-05,28.45,-1.52,5.0717 %,
2012-10-25,30.10,31.906,28.595,2012-11-14,28.22,-1.88,6.2458 %,
2012-11-20,28.70,30.422,27.265,2012-12-03,30.45,1.75,-6.0976 %,
2013-05-06,33.95,35.987,32.2525,2013-05-22,36.00,2.05,-6.0383 %,
2013-10-11,40.52,42.9512,38.494,2013-11-04,38.16,-2.36,-5.8243 %,
2013-11-15,40.17,42.5802,38.1615,2013-12-18,43.56,3.39,8.4391 %,
2014-03-05,49.40,52.364,46.93,2014-04-11,46.90,-2.5,-5.0607 %,
2014-09-04,53.97,57.2082,51.2715,2014-10-01,50.28,-3.69,-6.8371 %,
2014-11-24,52.49,55.6394,49.8655,2014-11-28,48.48,-4.01,7.6396 %,
,,,,,,,
Number of Winners:,14,
Number of Losers:,19,
Average Percent Change:,-0.6311 %,
