Date of Trade,Entry Point,Take Profit,Stop Loss,Date Closed,Trade Close,Win/Loss,Percent Win/Loss,
2005-02-11,41.89,44.4034,39.7955,2005-03-11,44.67,2.78,-6.6364 %,
2005-03-07,43.32,45.9192,41.154,2005-09-19,46.27,2.95,-6.8098 %,
2005-03-09,43.95,46.587,41.7525,2005-05-20,41.61,-2.34,-5.3242 %,
2005-04-12,42.70,45.262,40.565,2005-09-15,45.47,2.77,6.4871 %,
2005-04-27,43.53,46.1418,41.3535,2005-05-31,41.34,-2.19,5.031 %,
2005-07-21,42.43,44.9758,40.3085,2005-09-15,45.24,2.81,6.6227 %,
2005-08-11,43.90,46.534,41.705,2005-09-19,46.73,2.83,-6.4465 %,
2005-09-15,45.24,47.9544,42.978,2005-11-17,48.23,2.99,6.6092 %,
2005-10-07,46.99,49.8094,44.6405,2005-11-25,49.99,3.0,6.3843 %,
2005-10-18,47.09,49.9154,44.7355,2005-11-25,49.99,2.9,6.1584 %,
2005-11-28,49.30,52.258,46.835,2005-12-09,52.31,3.01,6.1055 %,
2005-12-02,49.93,52.9258,47.4335,2005-12-12,53.09,3.16,6.3289 %,
2005-12-23,50.10,53.106,47.595,2006-01-03,53.18,3.08,6.1477 %,
2006-01-09,53.46,56.6676,50.787,2006-01-30,56.70,3.24,6.0606 %,
2006-01-20,56.12,59.4872,53.314,2006-03-10,53.22,-2.9,-5.1675 %,
2006-03-27,56.18,59.5508,53.371,2006-04-10,59.65,3.47,-6.1766 %,
2006-04-04,58.44,61.9464,55.518,2006-04-19,61.96,3.52,-6.0233 %,
2006-04-07,58.67,62.1902,55.7365,2006-04-19,63.95,5.28,8.9995 %,
2006-04-11,59.52,63.0912,56.544,2006-04-19,63.95,4.43,7.4429 %,
2006-04-18,61.25,64.925,58.1875,2006-04-28,65.27,4.02,6.5633 %,
2006-05-10,69.27,73.4262,65.8065,2006-05-19,65.76,-3.51,-5.0671 %,
2006-05-24,64.83,68.7198,61.5885,2006-06-07,61.54,-3.29,-5.0748 %,
2006-07-12,64.65,68.529,61.4175,2006-07-21,61.21,-3.44,5.321 %,
2006-08-22,62.05,65.773,58.9475,2006-09-11,58.85,-3.2,-5.1571 %,
2006-09-06,63.22,67.0132,60.059,2006-09-11,58.85,-4.37,6.9124 %,
2006-10-16,58.93,62.4658,55.9835,2006-11-03,62.50,3.57,-6.058 %,
2006-11-02,61.47,65.1582,58.3965,2007-02-01,65.45,3.98,-6.4747 %,
2006-12-20,61.64,65.3384,58.558,2007-02-01,65.45,3.81,6.1811 %,
2007-04-23,68.41,72.5146,64.9895,2007-05-17,64.72,-3.69,-5.3939 %,
2007-06-01,65.70,69.642,62.415,2007-09-07,70.00,4.3,-6.5449 %,
2007-07-10,65.70,69.642,62.415,2007-09-07,70.00,4.3,-6.5449 %,
2007-09-04,66.74,70.7444,63.403,2007-09-14,70.97,4.23,6.338 %,
2007-12-24,80.21,85.0226,76.1995,2008-01-02,85.14,4.93,6.1464 %,
2008-01-03,84.87,89.9622,80.6265,2008-01-15,90.35,5.48,6.4569 %,
