Date,Open,High,Low,Close,Volume,Adj Close,20 Day SMA,50 Day SMA,Trade,
2001-01-03,45.50,57.4375,45.50,55.4375,19040600,48.29819,,,,
2001-01-04,56.8125,57.375,53.25,55.25,12232900,48.13483,,,,
2001-01-05,55.125,55.375,49.5625,50.125,9403000,43.66984,,,,
2001-01-08,50.50,53.0625,49.375,52.8125,9336500,46.01124,,,,
2001-01-09,53.0625,54.25,51.125,52.75,7557000,45.95679,,,,
2001-01-10,50.75,57.125,50.5625,57.00,12240600,49.65947,,,,
2001-01-11,56.6875,59.9375,55.125,59.00,11004100,51.40191,,,,
2001-01-12,59.00,61.875,58.125,60.875,10798500,53.03544,,,,
2001-01-16,60.875,61.625,58.25,59.9375,6991200,52.21867,,,,
2001-01-17,64.625,65.6875,63.50,63.9375,12086800,55.70355,,,,
2001-01-18,64.75,70.25,63.75,68.875,10912500,60.00519,,,,
2001-01-19,70.00,71.1875,68.3125,69.125,10653800,60.223,,,,
2001-01-22,68.00,68.0625,65.75,67.625,7547000,58.91617,,,,
2001-01-23,67.625,70.00,66.6875,70.00,8914300,60.98531,,,,
2001-01-24,69.75,72.1875,68.5625,70.125,9659000,61.09422,,,,
2001-01-25,62.00,62.75,56.25,56.25,47158600,49.00605,,,,
2001-01-26,55.875,56.875,54.375,55.00,22497100,47.91703,,,,
2001-01-29,55.75,58.00,55.00,57.75,9404200,50.31288,,,,
2001-01-30,57.75,58.50,56.50,58.08,6429600,50.60039,,,,
2001-01-31,58.99,59.92,56.50,56.71,8362000,49.40681,52.1278,,,
2001-02-01,56.53,57.50,53.82,54.50,9577800,47.48142,52.087,,,
2001-02-02,54.89,55.23,51.08,51.08,14209800,44.50185,51.9054,,,
2001-02-05,51.09,52.35,49.50,51.76,10142500,45.09428,51.9766,,,
2001-02-06,51.90,52.36,49.50,49.75,7877500,43.34313,51.8432,,,
2001-02-07,49.10,49.24,45.50,46.50,13239000,40.51167,51.5709,,,
2001-02-08,47.15,48.10,42.87,43.05,15802900,37.50597,50.9632,,,
2001-02-09,43.05,43.18,40.08,40.96,15704300,35.68512,50.1774,,,
2001-02-12,39.75,42.34,39.19,41.70,12426500,36.32982,49.3421,,,
2001-02-13,42.30,43.37,39.25,39.55,11244000,34.4567,48.454,,,
2001-02-14,39.55,40.65,36.75,38.90,29391300,33.89041,47.3634,,,
2001-02-15,40.54,44.50,37.70,42.01,24909300,36.5999,46.1931,,,
2001-02-16,35.00,37.50,32.20,33.00,48270200,28.75022,44.6195,,,
2001-02-20,33.20,34.00,30.00,30.05,25074400,26.18012,42.9827,,,
2001-02-21,30.05,32.00,29.50,30.30,17727800,26.39793,41.2533,,,
2001-02-22,30.95,32.49,29.33,31.51,18639100,27.4521,39.5712,,,
2001-02-23,31.00,33.50,30.40,33.20,16742400,28.92446,38.5671,,,
2001-02-26,33.75,33.76,31.90,32.47,11697500,28.28847,37.5857,,,
2001-02-27,31.90,31.95,28.50,28.65,17878800,24.96042,36.3181,,,
2001-02-28,29.00,29.90,26.60,27.10,20038100,23.61003,34.9685,,,
2001-03-01,27.00,30.51,26.88,30.25,16838700,26.41285,33.8188,,,
2001-03-02,29.50,30.00,27.40,27.70,16685000,24.18631,32.6541,,,
2001-03-05,28.50,29.55,28.25,29.55,9712600,25.80164,31.7191,,,
2001-03-06,30.75,32.37,30.60,31.00,15754700,27.06771,30.8177,,,
2001-03-07,31.89,31.95,29.65,30.10,10169400,26.28187,29.9647,,,
2001-03-08,30.70,31.00,28.15,28.50,11426200,24.88483,29.1833,,,
2001-03-09,27.60,28.15,26.80,27.01,12970600,23.58383,28.4872,,,
2001-03-12,24.60,26.51,23.20,23.43,28300700,20.45795,27.7259,,,
2001-03-13,24.08,25.00,23.71,24.60,17929500,21.47954,26.9834,,,
2001-03-14,23.60,26.00,23.03,23.98,21114800,20.93818,26.3074,,,
2001-03-15,25.85,26.00,23.65,23.90,15828200,20.86833,25.6563,39.0897,,
2001-03-16,23.91,24.24,23.00,23.18,12279300,20.23966,24.8383,38.5285,,
2001-03-19,23.00,25.70,23.00,25.20,13333600,22.00343,24.501,38.0059,,
2001-03-20,25.25,25.76,23.20,23.96,15034000,20.92072,24.238,37.5509,,
2001-03-21,24.00,25.24,23.40,24.06,13545000,21.00804,23.9685,37.0508,,
2001-03-22,24.30,25.75,23.15,24.50,21315300,21.39222,23.6655,36.5595,,
2001-03-23,25.01,25.75,23.85,23.86,15885600,20.83341,23.261,35.983,,
2001-03-26,25.25,25.35,23.81,24.10,10139700,21.04296,22.8987,35.3758,,
2001-03-27,24.00,25.36,23.85,24.99,11063800,21.82007,22.7417,34.7515,,
2001-03-28,24.24,24.24,21.00,21.47,19189600,18.74657,22.4985,34.0821,,
2001-03-29,21.25,21.32,19.66,19.98,17241700,17.44558,22.0501,33.3169,,
2001-03-30,20.20,21.24,20.00,20.69,13245400,18.06551,21.7441,32.4781,,
2001-04-02,20.93,21.25,19.05,19.90,11566200,17.37572,21.3228,31.6212,,
2001-04-03,19.35,19.74,18.19,18.50,19488000,16.15331,20.7771,30.7659,,
2001-04-04,18.80,20.23,18.55,19.00,14273200,16.58989,20.2925,29.878,,
2001-04-05,20.25,21.33,19.98,20.74,16478500,18.10917,19.9537,29.0183,,
2001-04-06,20.20,20.25,18.97,19.35,10177300,16.89549,19.6193,28.3761,,
2001-04-09,19.65,20.25,18.91,19.61,6458600,17.12251,19.4525,27.7602,,
2001-04-10,20.20,22.68,20.00,22.20,13936900,19.38397,19.3477,27.1416,,
2001-04-11,24.00,24.00,21.00,21.80,12182000,19.03471,19.2526,26.5103,,
2001-04-12,21.35,24.02,20.75,23.95,14779600,20.91199,19.2547,25.9404,,
2001-04-16,23.20,23.50,22.11,22.40,9042600,19.5586,19.2207,25.382,,
2001-04-17,21.50,24.00,21.41,22.90,10806900,19.99518,19.1203,24.8919,,
2001-04-18,24.58,26.62,23.90,24.94,18796900,21.77641,19.1631,24.4255,,
2001-04-19,25.00,26.64,24.80,26.47,18174900,23.11233,19.2683,24.0209,,
2001-04-20,26.80,27.49,25.50,26.70,16087700,23.31316,19.3643,23.6769,,
2001-04-23,25.50,25.60,23.03,23.10,12568500,20.16981,19.3311,23.3302,,
2001-04-24,23.11,23.95,22.20,22.70,13452400,19.82055,19.27,23.0129,,
2001-04-25,22.20,22.45,21.46,21.98,10507100,19.19188,19.1386,22.6701,,
2001-04-26,22.48,22.50,21.00,21.00,14899000,18.33619,19.1181,22.3477,,
2001-04-27,21.00,21.25,19.50,20.75,20805300,18.1179,19.1517,22.0323,,
2001-04-30,21.25,22.90,21.00,21.97,13096500,19.18315,19.2076,21.6839,,
2001-05-01,21.91,22.68,21.20,22.55,10566600,19.68958,19.3233,21.5027,,
2001-05-02,24.00,25.09,23.15,25.00,21740700,21.8288,19.6071,21.4157,,
2001-05-03,23.70,24.50,22.50,22.90,12691000,19.99518,19.7773,21.2876,,
2001-05-04,22.01,23.66,21.80,23.00,11121600,20.08249,19.876,21.1403,,
2001-05-07,23.25,24.20,23.12,23.40,7045000,20.43176,20.0528,20.9704,,
2001-05-08,24.25,24.50,23.13,23.62,7708700,20.62385,20.2279,20.8171,,
2001-05-09,22.55,23.74,22.50,23.09,8217700,20.16108,20.2667,20.7211,,
2001-05-10,24.00,24.03,22.67,22.75,7211100,19.86421,20.3082,20.6462,,
2001-05-11,22.80,22.88,22.00,22.10,7169800,19.29666,20.2274,20.5039,,
2001-05-14,22.05,22.37,21.03,21.28,6962500,18.58068,20.1785,20.3918,,
2001-05-15,21.60,21.75,20.55,20.60,10639100,17.98693,20.0781,20.2355,,
2001-05-16,20.50,21.70,19.99,21.25,16257700,18.55448,19.917,20.0652,,
2001-05-17,21.25,22.10,21.00,21.05,14036900,18.37985,19.6804,19.9072,,
2001-05-18,21.04,21.45,20.75,20.94,7799000,18.2838,19.4289,19.7751,,
2001-05-21,20.95,22.79,20.90,22.65,13025600,19.77689,19.4093,19.699,,
2001-05-22,23.18,23.70,22.71,23.40,15426600,20.43176,19.4399,19.6985,,
2001-05-23,23.15,23.15,22.37,22.37,8268000,19.53241,19.4569,19.6595,,
2001-05-24,22.45,22.50,21.70,22.10,8752900,19.29666,19.5049,19.6267,,
2001-05-25,22.42,22.42,21.55,21.55,5419100,18.81642,19.5398,19.5857,,
2001-05-29,21.75,21.75,20.62,20.67,5950100,18.04805,19.4831,19.5418,,
2001-05-30,20.01,20.15,18.96,18.96,13305600,16.55496,19.3263,19.4329,,
2001-05-31,19.28,19.43,18.76,18.92,10013100,16.57248,19.0635,19.3459,,
2001-06-01,19.50,19.67,18.74,19.28,7160000,16.88781,18.9082,19.2635,,
2001-06-04,19.40,19.85,18.85,18.95,6874700,16.59876,18.734,19.1676,,
2001-06-05,19.16,20.20,19.16,20.05,11535600,17.56227,18.5905,19.1022,,
2001-06-06,20.05,20.25,19.34,19.52,6969500,17.09803,18.4142,19.0233,,
2001-06-07,19.15,19.64,18.86,19.40,9469600,16.99292,18.2558,18.9268,,
2001-06-08,19.49,19.49,18.72,18.87,6742300,16.52868,18.089,18.8824,,
