Date of Trade,Entry Point,Take Profit,Stop Loss,Date Closed,Trade Close,Win/Loss,Percent Win/Loss,
2001-07-13,14.50,15.37,13.775,2001-07-13,13.60,-0.9,6.2069 %,
2001-09-25,9.85,10.441,9.3575,2001-09-26,9.10,-0.75,7.6142 %,
2002-06-18,4.23,4.4838,4.0185,2002-06-17,4.00,-0.23,5.4374 %,
2002-11-13,2.73,2.8938,2.5935,2002-11-12,2.51,-0.22,-8.0586 %,
2003-04-16,6.00,6.36,5.7,2003-04-25,5.64,-0.36,-6.0 %,
2003-07-03,7.53,7.9818,7.1535,2003-07-08,7.99,0.46,6.1089 %,
2003-10-06,9.81,10.3986,9.3195,2003-10-07,10.65,0.84,8.5627 %,
2004-07-21,12.70,13.462,12.065,2004-07-20,11.87,-0.83,-6.5354 %,
2004-11-18,12.70,13.462,12.065,2004-12-02,11.62,-1.08,-8.5039 %,
2005-01-07,11.89,12.6034,11.2955,2005-01-24,11.11,-0.78,6.5601 %,
2005-04-19,11.65,12.349,11.0675,2005-04-20,12.51,0.86,-7.382 %,
2006-05-26,24.75,26.235,23.5125,2006-05-25,23.51,-1.24,5.0101 %,
2007-01-25,21.30,22.578,20.235,2007-01-24,20.21,-1.09,5.1174 %,
2007-07-20,26.79,28.3974,25.4505,2007-07-25,24.91,-1.88,-7.0175 %,
2007-10-08,25.85,27.401,24.5575,2007-10-22,24.52,-1.33,-5.1451 %,
2007-11-01,24.00,25.44,22.8,2007-11-08,20.85,-3.15,-13.125 %,
2007-11-14,23.96,25.3976,22.762,2007-11-19,22.51,-1.45,6.0518 %,
2008-03-06,23.49,24.8994,22.3155,2008-03-25,25.24,1.75,7.45 %,
2008-03-19,24.23,25.6838,23.0185,2008-04-04,25.80,1.57,6.4796 %,
2008-04-02,25.17,26.6802,23.9115,2008-04-29,27.10,1.93,7.6679 %,
2008-12-09,8.73,9.2538,8.2935,2008-12-11,8.23,-0.5,5.7274 %,
2009-02-09,11.93,12.6458,11.3335,2009-02-06,11.15,-0.78,-6.5381 %,
2009-12-11,18.48,19.5888,17.556,2010-01-04,19.75,1.27,6.8723 %,
2011-08-30,15.02,15.9212,14.269,2011-09-02,13.99,-1.03,6.8575 %,
2011-09-08,14.28,15.1368,13.566,2011-09-09,13.49,-0.79,5.5322 %,
2011-09-28,12.79,13.5574,12.1505,2011-10-03,11.78,-1.01,7.8968 %,
2011-10-24,13.90,14.734,13.205,2011-10-26,14.94,1.04,-7.482 %,
2012-07-02,12.92,13.6952,12.274,2012-07-12,12.10,-0.82,6.3467 %,
2012-09-04,12.02,12.7412,11.419,2012-09-11,12.86,0.84,-6.9884 %,
2013-01-03,12.86,13.6316,12.217,2013-01-11,12.13,-0.73,-5.6765 %,
2013-05-06,14.84,15.7304,14.098,2013-05-16,15.77,0.93,6.2668 %,
2013-07-08,14.62,15.4972,13.889,2013-08-01,15.51,0.89,-6.0876 %,
2013-09-19,15.09,15.9954,14.3355,2013-10-03,14.25,-0.84,5.5666 %,
2013-10-11,14.27,15.1262,13.5565,2013-10-21,15.13,0.86,-6.0266 %,
2014-03-05,19.50,20.67,18.525,2014-03-26,20.69,1.19,6.1026 %,
,,,,,,,
Number of Winners:,21,
Number of Losers:,14,
Average Percent Change:,0.9963 %,
