Date of Trade,Entry Point,Take Profit,Stop Loss,Date Closed,Trade Close,Win/Loss,Percent Win/Loss,
2000-03-06,109.9375,116.5338,104.4406,2000-03-06,101.00,-8.9375,-8.1296 %,
2000-05-17,107.50,113.95,102.125,2000-06-05,114.1875,6.6875,-6.2209 %,
2000-05-31,110.50,117.13,104.975,2000-06-07,121.75,11.25,-10.181 %,
2000-09-01,133.0625,141.0462,126.4094,2000-09-11,123.625,-9.4375,-7.0925 %,
2001-01-18,104.375,110.6375,99.1563,2001-01-17,95.375,-9.0,8.6228 %,
2001-02-16,114.55,121.423,108.8225,2001-02-21,107.29,-7.26,-6.3378 %,
2001-04-06,98.00,103.88,93.1,2001-04-18,110.00,12.0,-12.2449 %,
2001-07-13,106.15,112.519,100.8425,2001-08-30,98.86,-7.29,6.8676 %,
2002-05-09,81.90,86.814,77.805,2002-06-04,77.60,-4.3,5.2503 %,
2002-09-09,72.45,76.797,68.8275,2002-09-11,77.50,5.05,6.9703 %,
2002-10-18,71.73,76.0338,68.1435,2002-10-28,77.50,5.77,-8.0441 %,
2003-03-24,82.46,87.4076,78.337,2003-03-31,78.31,-4.15,5.0327 %,
2003-04-03,82.32,87.2592,78.204,2003-04-10,78.13,-4.19,-5.0899 %,
2003-07-03,84.25,89.305,80.0375,2003-08-05,79.80,-4.45,5.2819 %,
2003-07-08,86.09,91.2554,81.7855,2003-07-22,81.52,-4.57,5.3084 %,
2003-10-09,93.30,98.898,88.635,2003-10-22,88.30,-5.0,-5.3591 %,
2003-11-25,89.66,95.0396,85.177,2004-01-15,95.07,5.41,-6.0339 %,
2005-01-31,93.65,99.269,88.9675,2005-04-06,88.71,-4.94,5.275 %,
2005-05-27,77.11,81.7366,73.2545,2005-07-13,81.75,4.64,-6.0174 %,
2005-12-27,83.48,88.4888,79.306,2006-02-06,78.93,-4.55,-5.4504 %,
2006-09-21,82.61,87.5666,78.4795,2006-10-16,87.60,4.99,6.0404 %,
2006-12-05,93.51,99.1206,88.8345,2007-01-08,99.50,5.99,6.4057 %,
2006-12-28,97.11,102.9366,92.2545,2007-03-01,90.25,-6.86,-7.0642 %,
2007-03-07,93.97,99.6082,89.2715,2007-04-24,99.90,5.93,-6.3105 %,
2008-01-15,102.03,108.1518,96.9285,2008-02-01,109.40,7.37,-7.2234 %,
2008-09-09,117.78,124.8468,111.891,2008-09-17,110.61,-7.17,6.0876 %,
2009-01-22,89.83,95.2198,85.3385,2009-02-06,97.10,7.27,8.0931 %,
2009-04-01,96.13,101.8978,91.3235,2009-04-02,101.99,5.86,6.0959 %,
2009-04-17,101.18,107.2508,96.121,2009-06-01,108.67,7.49,7.4026 %,
2009-06-10,109.20,115.752,103.74,2009-06-24,103.72,-5.48,-5.0183 %,
2009-07-31,117.56,124.6136,111.682,2009-10-09,126.00,8.44,7.1793 %,
2010-02-17,125.50,133.03,119.225,2010-05-06,116.00,-9.5,7.5697 %,
2010-08-03,130.03,137.8318,123.5285,2010-08-26,122.78,-7.25,-5.5756 %,
2010-09-02,126.03,133.5918,119.7285,2010-09-24,134.14999,8.12,6.4429 %,
2010-10-06,136.88,145.0928,130.036,2010-11-04,146.84,9.96,7.2764 %,
2010-11-05,145.94,154.6964,138.643,2011-01-19,156.13,10.19,6.9823 %,
2010-12-02,144.33,152.9898,137.1135,2011-01-19,153.25999,8.93,6.1872 %,
2011-01-04,147.56,156.4136,140.182,2011-01-21,156.78,9.22,6.2483 %,
2011-03-04,163.39999,173.204,155.23,2011-03-16,151.71001,-11.69,-7.1542 %,
2011-09-08,167.00,177.02,158.65,2011-09-20,177.42999,10.43,-6.2455 %,
2011-09-27,176.82001,187.4292,167.979,2011-10-12,188.00,11.18,-6.3228 %,
2011-10-17,189.71001,201.0926,180.2245,2011-10-18,178.00,-11.71,-6.1726 %,
2011-10-28,185.57001,196.7042,176.2915,2012-02-23,199.23,13.66,7.3611 %,
2011-11-29,182.02,192.9412,172.919,2011-12-05,193.61,11.59,6.3674 %,
2012-07-02,196.36,208.1416,186.542,2012-07-10,185.60001,-10.76,5.4797 %,
2013-01-03,195.67,207.4102,185.8865,2013-01-23,208.58,12.91,6.5978 %,
2013-05-29,206.22,218.5932,195.909,2013-06-21,193.53999,-12.68,6.1488 %,
2014-03-05,186.57001,197.7642,177.2415,2014-04-10,199.21001,12.64,-6.7749 %,
2014-07-17,192.36,203.9016,182.742,2014-10-15,182.46001,-9.9,5.1466 %,
,,,,,,,
Number of Winners:,27,
Number of Losers:,22,
Average Percent Change:,0.4828 %,
