Date of Trade,Entry Point,Take Profit,Stop Loss,Date Closed,Trade Close,Win/Loss,Percent Win/Loss,
2005-04-06,34.75,36.835,33.0125,2005-10-12,33.01,-1.74,5.0072 %,
2006-09-21,47.08,49.9048,44.726,2007-01-24,50.40,3.32,7.0518 %,
2008-09-09,40.81,43.2586,38.7695,2008-09-08,43.66,2.85,6.9836 %,
2009-03-24,28.05,29.733,26.6475,2009-03-23,25.30,-2.75,9.8039 %,
2009-04-13,32.01,33.9306,30.4095,2009-04-09,30.20,-1.81,-5.6545 %,
2009-10-15,46.36,49.1416,44.042,2009-10-26,43.55,-2.81,-6.0613 %,
2010-04-15,47.65,50.509,45.2675,2010-04-16,45.14,-2.51,-5.2676 %,
2010-08-03,41.50,43.99,39.425,2010-08-10,39.16,-2.34,-5.6386 %,
2010-12-10,40.89,43.3434,38.8455,2011-01-03,44.04,3.15,7.7036 %,
2011-01-04,43.78,46.4068,41.591,2011-02-11,46.89,3.11,7.1037 %,
2011-02-28,46.81,49.6186,44.4695,2011-03-15,43.85,-2.96,-6.3234 %,
2011-03-21,46.28,49.0568,43.966,2011-04-18,43.53,-2.75,-5.9421 %,
2011-03-31,46.05,48.813,43.7475,2011-04-18,43.53,-2.52,5.4723 %,
2011-07-08,40.70,43.142,38.665,2011-08-04,37.82,-2.88,7.0762 %,
2011-09-08,34.44,36.5064,32.718,2011-09-09,31.93,-2.51,7.288 %,
2011-12-01,30.86,32.7116,29.317,2011-12-02,33.27,2.41,-7.8095 %,
2012-01-11,35.80,37.948,34.01,2012-01-26,38.10,2.3,6.4246 %,
2012-02-14,38.23,40.5238,36.3185,2012-03-02,40.88,2.65,6.9317 %,
2012-02-21,38.65,40.969,36.7175,2012-03-09,41.44,2.79,7.2186 %,
2012-06-27,35.64,37.7784,33.858,2012-07-06,33.73,-1.91,5.3591 %,
2012-07-16,35.76,37.9056,33.972,2012-07-20,33.90,-1.86,5.2013 %,
2012-10-02,41.14,43.6084,39.083,2012-11-15,39.06,-2.08,-5.0559 %,
2012-11-07,42.01,44.5306,39.9095,2012-11-09,39.86,-2.15,-5.1178 %,
2012-11-20,40.33,42.7498,38.3135,2012-12-11,43.09,2.76,6.8435 %,
2012-11-30,40.99,43.4494,38.9405,2012-12-17,43.51,2.52,-6.1478 %,
2013-03-06,49.88,52.8728,47.386,2013-03-28,47.28,-2.6,-5.2125 %,
2013-06-26,52.65,55.809,50.0175,2013-07-11,55.84,3.19,6.0589 %,
2013-10-11,52.96,56.1376,50.312,2013-11-19,56.64,3.68,-6.9486 %,
2014-03-05,57.48,60.9288,54.606,2014-03-21,60.96,3.48,-6.0543 %,
2014-11-06,61.08,64.7448,58.026,Trade in Progress,N/A,N/A,N/A,
2014-11-24,60.70,64.342,57.665,Trade in Progress,N/A,N/A,N/A,
,,,,,,,
Number of Winners:,16,
Number of Losers:,13,
Average Percent Change:,1.0446 %,
