Date of Trade,Entry Point,Take Profit,Stop Loss,Date Closed,Trade Close,Win/Loss,Percent Win/Loss,
2006-11-30,29.42,31.1852,27.949,2007-01-12,31.39,1.97,6.6961 %,
2007-10-10,30.04,31.8424,28.538,2007-10-25,32.22,2.18,7.257 %,
2008-01-25,34.90,36.994,33.155,2008-01-24,32.35,-2.55,-7.3066 %,
2008-10-14,25.64,27.1784,24.358,2008-10-13,22.86,-2.78,10.8424 %,
2009-04-01,18.23,19.3238,17.3185,2009-04-01,19.36,1.13,-6.1986 %,
2009-04-27,20.55,21.783,19.5225,2009-04-24,19.50,-1.05,-5.1095 %,
2009-10-26,28.13,29.8178,26.7235,2009-11-17,30.00,1.87,6.6477 %,
2010-09-14,25.04,26.5424,23.788,2010-10-04,23.78,-1.26,5.0319 %,
2011-04-27,26.30,27.878,24.985,2011-05-13,24.95,-1.35,5.1331 %,
2011-11-29,24.82,26.3092,23.579,2012-01-03,26.55,1.73,-6.9702 %,
2011-12-14,25.72,27.2632,24.434,2012-01-04,27.47,1.75,-6.804 %,
2012-07-02,30.62,32.4572,29.089,2012-07-12,28.54,-2.08,6.7929 %,
2013-01-03,27.63,29.2878,26.2485,2013-04-09,29.82,2.19,-7.9262 %,
2013-04-22,30.30,32.118,28.785,2013-04-25,32.84,2.54,8.3828 %,
2013-10-28,35.61,37.7466,33.8295,2013-11-06,38.22,2.61,7.3294 %,
2014-01-27,36.87,39.0822,35.0265,2014-03-18,39.90,3.03,-8.2181 %,
2014-06-06,41.48,43.9688,39.406,2014-07-16,44.31,2.83,6.8226 %,
2014-11-03,46.89,49.7034,44.5455,2014-11-14,49.74,2.85,-6.0781 %,
2014-12-19,47.63,50.4878,45.2485,Trade in Progress,N/A,N/A,N/A,
,,,,,,,
Number of Winners:,10,
Number of Losers:,8,
Average Percent Change:,0.9069 %,
