Date of Trade,Entry Point,Take Profit,Stop Loss,Date Closed,Trade Close,Win/Loss,Percent Win/Loss,
2004-05-12,29.40,31.164,27.93,2004-05-14,31.24,1.84,6.2585 %,
2005-03-29,9.83,10.4198,9.3385,2005-03-31,10.85,1.02,-10.3764 %,
2005-11-11,29.55,31.323,28.0725,2005-11-15,27.86,-1.69,-5.7191 %,
2005-12-22,27.62,29.2772,26.239,2005-12-21,26.18,-1.44,5.2136 %,
2006-09-07,20.86,22.1116,19.817,2006-09-13,22.41,1.55,-7.4305 %,
2006-12-12,28.47,30.1782,27.0465,2006-12-14,27.00,-1.47,-5.1633 %,
2007-10-24,25.29,26.8074,24.0255,2007-11-05,27.00,1.71,6.7616 %,
2009-02-13,38.00,40.28,36.1,2009-02-23,35.38,-2.62,-6.8947 %,
2009-07-10,39.38,41.7428,37.411,2009-07-13,43.07,3.69,-9.3702 %,
2010-09-14,147.72,156.5832,140.334,2010-09-16,140.13,-7.59,-5.1381 %,
2011-04-04,244.83,259.5198,232.5885,2011-04-07,231.03,-13.8,-5.6366 %,
2011-07-14,299.50,317.47,284.525,2011-07-15,281.62,-17.88,-5.9699 %,
2011-07-20,283.00,299.98,268.85,2011-07-26,255.60001,-27.4,-9.682 %,
2012-09-17,58.98,62.5188,56.031,2012-09-18,55.82,-3.16,5.3577 %,
2013-01-22,99.65,105.629,94.6675,2013-01-24,143.99001,44.34,44.4957 %,
2013-10-02,322.09,341.4154,305.9855,2013-10-08,299.57001,-22.52,-6.9918 %,
2014-05-02,337.51001,357.7606,320.6345,2014-05-07,315.20999,-22.3,6.6072 %,
2014-07-22,442.98001,469.5588,420.831,2014-07-24,419.01999,-23.96,-5.4088 %,
2014-11-03,393.23001,416.8238,373.5685,2014-11-19,362.66,-30.57,7.7741 %,
,,,,,,,
Number of Winners:,7,
Number of Losers:,12,
Average Percent Change:,-0.0691 %,
