Date of Trade,Entry Point,Take Profit,Stop Loss,Date Closed,Trade Close,Win/Loss,Percent Win/Loss,
10/14/2010,21,22.26,19.95,11/1/2010,22.75,1.75,8.3333 %,
4/18/2011,25.13,26.6378,23.8735,4/21/2011,26.98,1.85,7.3617 %,
5/20/2011,28.26,29.9556,26.847,5/19/2011,26.6,-1.66,-5.874 %,
7/20/2011,28,29.68,26.6,7/20/2011,30.44,2.44,8.7143 %,
9/8/2011,23.58,24.9948,22.401,9/16/2011,25.84,2.26,-9.5844 %,
3/27/2012,37.16,39.3896,35.302,3/26/2012,35.04,-2.12,-5.7051 %,
4/17/2013,45.5,48.23,43.225,4/19/2013,49.88,4.38,9.6264 %,
5/17/2013,92.5,98.05,87.875,5/17/2013,87.5,-5.0,-5.4054 %,
6/17/2013,103.6,109.816,98.42,6/21/2013,97.5,-6.1,-5.888 %,
8/9/2013,152.4,161.544,144.78,8/12/2013,142.05,-10.35,-6.7913 %,
12/4/2013,144.32,152.9792,137.104,12/3/2013,132.68,-11.64,8.0654 %,
2/21/2014,211.64,224.3384,201.058,2/25/2014,230,18.36,8.6751 %,
3/5/2014,256.72,272.1232,243.884,3/10/2014,242.7,-14.02,-5.4612 %,
8/12/2014,258.08,273.5648,245.176,9/2/2014,275.5,17.42,6.7498 %,
8/26/2014,264.98,280.8788,251.731,9/2/2014,284.89,19.91,7.5138 %,
10/3/2014,253.06,268.2436,240.407,10/10/2014,235.2,-17.86,-7.0576 %,
,,,,,,,
Number of Winners:,8,
Number of Losers:,8,
Average Percent Change:,0.8295 %,
