Date,Open,High,Low,Close,Volume,Adj Close,20 Day SMA,50 Day SMA,Trade,
6/29/2010,19,25,17.54,23.89,18766300,23.89,,
6/30/2010,25.79,30.42,23.3,23.83,17187100,23.83,,
7/1/2010,25,25.92,20.27,21.96,8218800,21.96,,
7/2/2010,23,23.1,18.71,19.2,5139800,19.2,,
7/6/2010,20,20,15.83,16.11,6866900,16.11,,
7/7/2010,16.4,16.63,14.98,15.8,6921700,15.8,,
7/8/2010,16.14,17.52,15.57,17.46,7711400,17.46,,
7/9/2010,17.58,17.9,16.55,17.4,4050600,17.4,,
7/12/2010,17.95,18.07,17,17.05,2202500,17.05,,
7/13/2010,17.39,18.64,16.9,18.14,2680100,18.14,,
7/14/2010,17.94,20.15,17.76,19.84,4195200,19.84,,
7/15/2010,19.94,21.5,19,19.89,3739800,19.89,,
7/16/2010,20.7,21.3,20.05,20.64,2621300,20.64,,
7/19/2010,21.37,22.25,20.92,21.91,2486500,21.91,,
7/20/2010,21.85,21.85,20.05,20.3,1825300,20.3,,
7/21/2010,20.66,20.9,19.5,20.22,1252500,20.22,,
7/22/2010,20.5,21.25,20.37,21,957800,21,,
7/23/2010,21.19,21.56,21.06,21.29,653600,21.29,,
7/26/2010,21.5,21.5,20.3,20.95,922200,20.95,,
7/27/2010,20.91,21.18,20.26,20.55,619700,20.55,19.8715,,
7/28/2010,20.55,20.9,20.51,20.72,467200,20.72,19.713,,
7/29/2010,20.77,20.88,20,20.35,616000,20.35,19.539,,
7/30/2010,20.2,20.44,19.55,19.94,426900,19.94,19.438,,
8/2/2010,20.5,20.97,20.33,20.92,718100,20.92,19.524,,
8/3/2010,21,21.95,20.82,21.95,1230500,21.95,19.816,,
8/4/2010,21.95,22.18,20.85,21.26,913000,21.26,20.089,,
8/5/2010,21.54,21.55,20.05,20.45,796200,20.45,20.2385,,
8/6/2010,20.1,20.16,19.52,19.59,741900,19.59,20.348,,
8/9/2010,19.9,19.98,19.45,19.6,812700,19.6,20.4755,,
8/10/2010,19.65,19.65,18.82,19.03,1281300,19.03,20.52,,
8/11/2010,18.69,18.88,17.85,17.9,797600,17.9,20.423,,
8/12/2010,17.8,17.9,17.39,17.6,691000,17.6,20.3085,,
8/13/2010,18.18,18.45,17.66,18.32,634000,18.32,20.1925,,
8/16/2010,18.45,18.8,18.26,18.78,485800,18.78,20.036,,
8/17/2010,18.96,19.4,18.78,19.15,447900,19.15,19.9785,,
8/18/2010,19.59,19.59,18.6,18.77,601300,18.77,19.906,,
8/19/2010,18.54,19.25,18.33,18.79,579100,18.79,19.7955,,
8/20/2010,18.65,19.11,18.51,19.1,296000,19.1,19.686,,
8/23/2010,19.09,20.39,19,20.13,1088100,20.13,19.645,,
8/24/2010,19.25,19.71,18.95,19.2,673100,19.2,19.5775,,
8/25/2010,19.16,19.98,18.56,19.9,503300,19.9,19.5365,,
8/26/2010,19.89,20.27,19.6,19.75,433800,19.75,19.5065,,
8/27/2010,19.75,19.87,19.5,19.7,379600,19.7,19.4945,,
8/30/2010,19.7,20.19,19.61,19.87,732800,19.87,19.442,,
8/31/2010,19.66,19.79,19.33,19.48,201100,19.48,19.3185,,
9/1/2010,19.62,20.69,19.6,20.45,494900,20.45,19.278,,
9/2/2010,20.37,21.24,20.31,21.06,487100,21.06,19.3085,,
9/3/2010,20.87,21.3,20.66,21.05,434600,21.05,19.3815,,
9/7/2010,20.61,21,20.5,20.54,243400,20.54,19.4285,,
9/8/2010,20.66,20.95,20.6,20.9,288400,20.9,19.522,19.8336,,
9/9/2010,21,21.05,20.69,20.71,376200,20.71,19.6625,19.77,,
9/10/2010,20.75,20.93,19.76,20.17,386600,20.17,19.791,19.6968,,
9/13/2010,20.89,20.9,20.5,20.72,360800,20.72,19.911,19.672,,
9/14/2010,20.54,21.6,20.53,21.12,654700,21.12,20.028,19.7104,,
9/15/2010,20.98,22,20.79,21.98,684600,21.98,20.1695,19.8278,,
9/16/2010,22.15,23.16,20.84,20.94,2684500,20.94,20.278,19.9306,,
9/17/2010,21.02,21.32,19.8,20.23,1198500,20.23,20.35,19.986,,
9/20/2010,20.67,21.35,20.16,21.06,947500,21.06,20.448,20.0592,,
9/21/2010,20.89,21.55,20.67,20.77,796000,20.77,20.48,20.1336,,
9/22/2010,20.87,20.95,19.8,19.87,962900,19.87,20.5135,20.1682,,
9/23/2010,19.89,20.14,19.5,19.56,668100,19.56,20.4965,20.1626,,
9/24/2010,19.95,20.19,19.65,20.1,578900,20.1,20.514,20.1668,,
9/27/2010,20.4,20.81,20.05,20.53,418600,20.53,20.5555,20.1646,,
9/28/2010,21.04,21.49,20.76,21.4,1214500,21.4,20.632,20.1544,,
9/29/2010,21.19,22.03,21.13,21.98,1969300,21.98,20.757,20.188,,
